Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
David J. Trone,Democratic,"1,780","6,478","8,285",722,17265,68.33%
Angela Alsobrooks,Democratic,651,"3,209","2,976",335,7171,28.38%
Brian E. Frydenborg,Democratic,15,74,78,6,173,0.68%
Joseph Perez,Democratic,20,80,49,6,155,0.61%
Marcellus Crews,Democratic,10,64,35,6,115,0.46%
"Michael W. Cobb, Sr.",Democratic,13,56,38,7,114,0.45%
Scottie J. Griffin,Democratic,17,54,35,4,110,0.44%
Robert K. Houton,Democratic,9,36,22,3,70,0.28%
Andrew Jaye Wildman,Democratic,4,35,18,2,59,0.23%
Steven Henry Seuferer,Democratic,5,23,8,0,36,0.14%
Totals,Democratic,"2,524","10,109","11,544","1,091","25,268",100.00%
