Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Jessica Fitzwater (Female) (Biden),Democratic,"2,116","8,161","9,811",853,20941,16.85%
Karen Lewis Young (Female) (Biden),Democratic,"2,006","7,534","9,633",817,19990,16.08%
Donna S. Edwards (Female) (Biden),Democratic,"2,024","7,392","9,348",788,19552,15.73%
Brian K. Grim (Male) (Biden),Democratic,"1,781","6,234","8,406",699,17120,13.77%
Thomas G. Slater (Male) (Biden),Democratic,"1,749","5,949","8,571",679,16948,13.64%
Djawa Hall (Male) (Biden),Democratic,"1,660","5,703","8,017",656,16036,12.90%
Syeda N. Mehmooda (Female) (Uncommitted),Democratic,289,"1,619","1,154",154,3216,2.59%
Samreen Nizami (Female) (Uncommitted),Democratic,258,"1,445","1,077",147,2927,2.35%
Haroon Akhtar (Male) (Uncommitted),Democratic,203,"1,063",660,97,2023,1.63%
Ata W. Ahmad (Male) (Uncommitted),Democratic,204,"1,053",615,70,1942,1.56%
Ovais H. Bajwa (Male) (Uncommitted),Democratic,181,956,624,88,1849,1.49%
Akhtar Ahmad Sheikh (Male) (Uncommitted),Democratic,148,865,655,77,1745,1.40%
Totals,Democratic,"12,619","47,974","58,571","5,125","124,289",100.00%
